job title,company name,location,skills,links
Senior Full Stack React/ Python (Django) Developer - Remote,GetTechForce.com -,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · APIs · CSS · Design · Development · Front end · HTML,https://wuzzuf.net/jobs/p/IWq4Il9Uiw5V-Senior-Full-Stack-React-Python-Django-Developer---Remote-GetTechForce-com-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,Human Quality -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · JavaScript · OOP · Python · Software Development · Django · HTML5 · Programming · Computer Science · front-end,https://wuzzuf.net/jobs/p/W9FwcYEbjdRS-Senior-Python-Developer-Human-Quality-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Advanced Solutions Co. -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · Odoo · Git · Software Development · JavaScript · Software,https://wuzzuf.net/jobs/p/ZicQrIC0wZN0-Python-Developer-Advanced-Solutions-Co-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Python Developer,DBS -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Python,https://wuzzuf.net/jobs/p/3Mj2ievrvp7t-Full-Stack-Python-Developer-DBS-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,RTX for Shipping -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · IT/Software Development · Computer Science · Django · Flask · Python · JavaScript · computer,https://wuzzuf.net/jobs/p/PcLpYIUeTqSk-Python-Developer-RTX-for-Shipping-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Junior Python Developer (Remote Internship – IT),TALENTKOMPASS deutschland -,"Alexandria, Egypt ",Full TimeWork From HomeNot specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · HTML · SQL,https://wuzzuf.net/jobs/p/HlkQEe9yO5FT-Junior-Python-Developer-Remote-Internship-–-IT-TALENTKOMPASS-deutschland-Alexandria-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Multi Level Group (MLG) -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Engineering · Git · Information Technology (IT) · OOP · PHP · Programming · Software Development,https://wuzzuf.net/jobs/p/NEuzz9ILgVlu-Python-Developer-Multi-Level-Group-MLG-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Python Automation Engineer,Expleo -,"Cairo, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Quality · Python · API · Automation · QA · Software Development,https://wuzzuf.net/jobs/p/HYEkWqovIYbY-Python-Automation-Engineer-Expleo-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Sceel.io -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Python · backend · Information Technology (IT) · JSON · Computer Science · Automation · Software Development,https://wuzzuf.net/jobs/p/xvFGmf1AZPjq-Python-Developer-Sceel-io-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Full stack python web developer,Micro Engineering -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Engineering · Software Development · JavaScript · Information Technology (IT) · HTML · PHP,https://wuzzuf.net/jobs/p/4Rntdd47fQxc-Full-stack-python-web-developer-Micro-Engineering-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
"Jira Cloud Admin ""Fluent English Speakers Only""",FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Agile · AWS · Cloud · Computer Science · Docker · Information Technology (IT) · Python · Scrum · Security,https://wuzzuf.net/jobs/p/gBToB9LqBiIs-Jira-Cloud-Admin-Fluent-English-Speakers-Only-FlairsTech-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb
Senior AI engineer,eT3 - Tomorrow Information Technology -,"Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · NLP · Python · AI · NoSQL · RESTful API · API,https://wuzzuf.net/jobs/p/ueKRfercsUpZ-Senior-AI-engineer-eT3---Tomorrow-Information-Technology-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb
Technical Lead,Salem Ventures -,"New Cairo, Cairo, Egypt ",Full TimeSenior Management · 5 - 10 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Science · Frameworks · Development · Information Technology (IT) · Node.js · Programming · Js,https://wuzzuf.net/jobs/p/xLyd6ADualTW-Technical-Lead-Salem-Ventures-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb
Business Analyst,eT3 - Tomorrow Information Technology -,"Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Computer Science · JIRA · SQL · Python · UAT testing · Data Analysis,https://wuzzuf.net/jobs/p/xgRgz9RfzXSC-Business-Analyst-eT3---Tomorrow-Information-Technology-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb
Intelligence Operations Integrator - Deployed,"Barbaricum, LLC -","Doha, Qatar ",Full TimeNot specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · sales · operations · java · html,https://wuzzuf.net/jobs/p/ITuPDHvHiEWq-Intelligence-Operations-Integrator---Deployed-Barbaricum-LLC-Doha-Qatar?o=15&l=sp&t=sj&a=python|search-v3|hpb
Senior Full Stack React/ Python (Django) Developer - Remote,GetTechForce.com -,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · APIs · CSS · Design · Development · Front end · HTML,https://wuzzuf.net/jobs/p/IWq4Il9Uiw5V-Senior-Full-Stack-React-Python-Django-Developer---Remote-GetTechForce-com-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,Human Quality -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · JavaScript · OOP · Python · Software Development · Django · HTML5 · Programming · Computer Science · front-end,https://wuzzuf.net/jobs/p/W9FwcYEbjdRS-Senior-Python-Developer-Human-Quality-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Advanced Solutions Co. -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · Odoo · Git · Software Development · JavaScript · Software,https://wuzzuf.net/jobs/p/ZicQrIC0wZN0-Python-Developer-Advanced-Solutions-Co-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Python Developer,DBS -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Python,https://wuzzuf.net/jobs/p/3Mj2ievrvp7t-Full-Stack-Python-Developer-DBS-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,RTX for Shipping -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · IT/Software Development · Computer Science · Django · Flask · Python · JavaScript · computer,https://wuzzuf.net/jobs/p/PcLpYIUeTqSk-Python-Developer-RTX-for-Shipping-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Junior Python Developer (Remote Internship – IT),TALENTKOMPASS deutschland -,"Alexandria, Egypt ",Full TimeWork From HomeNot specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · HTML · SQL,https://wuzzuf.net/jobs/p/HlkQEe9yO5FT-Junior-Python-Developer-Remote-Internship-–-IT-TALENTKOMPASS-deutschland-Alexandria-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Multi Level Group (MLG) -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Engineering · Git · Information Technology (IT) · OOP · PHP · Programming · Software Development,https://wuzzuf.net/jobs/p/NEuzz9ILgVlu-Python-Developer-Multi-Level-Group-MLG-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Python Automation Engineer,Expleo -,"Cairo, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Quality · Python · API · Automation · QA · Software Development,https://wuzzuf.net/jobs/p/HYEkWqovIYbY-Python-Automation-Engineer-Expleo-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Sceel.io -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Python · backend · Information Technology (IT) · JSON · Computer Science · Automation · Software Development,https://wuzzuf.net/jobs/p/xvFGmf1AZPjq-Python-Developer-Sceel-io-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Full stack python web developer,Micro Engineering -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Engineering · Software Development · JavaScript · Information Technology (IT) · HTML · PHP,https://wuzzuf.net/jobs/p/4Rntdd47fQxc-Full-stack-python-web-developer-Micro-Engineering-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
"Jira Cloud Admin ""Fluent English Speakers Only""",FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Agile · AWS · Cloud · Computer Science · Docker · Information Technology (IT) · Python · Scrum · Security,https://wuzzuf.net/jobs/p/gBToB9LqBiIs-Jira-Cloud-Admin-Fluent-English-Speakers-Only-FlairsTech-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb
Senior AI engineer,eT3 - Tomorrow Information Technology -,"Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · NLP · Python · AI · NoSQL · RESTful API · API,https://wuzzuf.net/jobs/p/ueKRfercsUpZ-Senior-AI-engineer-eT3---Tomorrow-Information-Technology-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb
Technical Lead,Salem Ventures -,"New Cairo, Cairo, Egypt ",Full TimeSenior Management · 5 - 10 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Science · Frameworks · Development · Information Technology (IT) · Node.js · Programming · Js,https://wuzzuf.net/jobs/p/xLyd6ADualTW-Technical-Lead-Salem-Ventures-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Advanced Solutions Co. -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · Odoo · Git · Software Development · JavaScript · Software,https://wuzzuf.net/jobs/p/ZicQrIC0wZN0-Python-Developer-Advanced-Solutions-Co-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Python Developer,DBS -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Python,https://wuzzuf.net/jobs/p/3Mj2ievrvp7t-Full-Stack-Python-Developer-DBS-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,RTX for Shipping -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · IT/Software Development · Computer Science · Django · Flask · Python · JavaScript · computer,https://wuzzuf.net/jobs/p/PcLpYIUeTqSk-Python-Developer-RTX-for-Shipping-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Junior Python Developer (Remote Internship – IT),TALENTKOMPASS deutschland -,"Alexandria, Egypt ",Full TimeWork From HomeNot specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · HTML · SQL,https://wuzzuf.net/jobs/p/HlkQEe9yO5FT-Junior-Python-Developer-Remote-Internship-–-IT-TALENTKOMPASS-deutschland-Alexandria-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Multi Level Group (MLG) -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Engineering · Git · Information Technology (IT) · OOP · PHP · Programming · Software Development,https://wuzzuf.net/jobs/p/NEuzz9ILgVlu-Python-Developer-Multi-Level-Group-MLG-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Python Automation Engineer,Expleo -,"Cairo, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Quality · Python · API · Automation · QA · Software Development,https://wuzzuf.net/jobs/p/HYEkWqovIYbY-Python-Automation-Engineer-Expleo-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Sceel.io -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Python · backend · Information Technology (IT) · JSON · Computer Science · Automation · Software Development,https://wuzzuf.net/jobs/p/xvFGmf1AZPjq-Python-Developer-Sceel-io-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Full stack python web developer,Micro Engineering -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Engineering · Software Development · JavaScript · Information Technology (IT) · HTML · PHP,https://wuzzuf.net/jobs/p/4Rntdd47fQxc-Full-stack-python-web-developer-Micro-Engineering-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Advanced Solutions Co. -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · Odoo · Git · Software Development · JavaScript · Software,https://wuzzuf.net/jobs/p/ZicQrIC0wZN0-Python-Developer-Advanced-Solutions-Co-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Python Developer,DBS -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Python,https://wuzzuf.net/jobs/p/3Mj2ievrvp7t-Full-Stack-Python-Developer-DBS-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,RTX for Shipping -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · IT/Software Development · Computer Science · Django · Flask · Python · JavaScript · computer,https://wuzzuf.net/jobs/p/PcLpYIUeTqSk-Python-Developer-RTX-for-Shipping-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Junior Python Developer (Remote Internship – IT),TALENTKOMPASS deutschland -,"Alexandria, Egypt ",Full TimeWork From HomeNot specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · HTML · SQL,https://wuzzuf.net/jobs/p/HlkQEe9yO5FT-Junior-Python-Developer-Remote-Internship-–-IT-TALENTKOMPASS-deutschland-Alexandria-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Multi Level Group (MLG) -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Engineering · Git · Information Technology (IT) · OOP · PHP · Programming · Software Development,https://wuzzuf.net/jobs/p/NEuzz9ILgVlu-Python-Developer-Multi-Level-Group-MLG-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Python Automation Engineer,Expleo -,"Cairo, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Quality · Python · API · Automation · QA · Software Development,https://wuzzuf.net/jobs/p/HYEkWqovIYbY-Python-Automation-Engineer-Expleo-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Sceel.io -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Python · backend · Information Technology (IT) · JSON · Computer Science · Automation · Software Development,https://wuzzuf.net/jobs/p/xvFGmf1AZPjq-Python-Developer-Sceel-io-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Full stack python web developer,Micro Engineering -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Engineering · Software Development · JavaScript · Information Technology (IT) · HTML · PHP,https://wuzzuf.net/jobs/p/4Rntdd47fQxc-Full-stack-python-web-developer-Micro-Engineering-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
"Jira Cloud Admin ""Fluent English Speakers Only""",FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Agile · AWS · Cloud · Computer Science · Docker · Information Technology (IT) · Python · Scrum · Security,https://wuzzuf.net/jobs/p/gBToB9LqBiIs-Jira-Cloud-Admin-Fluent-English-Speakers-Only-FlairsTech-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Advanced Solutions Co. -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · Odoo · Git · Software Development · JavaScript · Software,https://wuzzuf.net/jobs/p/ZicQrIC0wZN0-Python-Developer-Advanced-Solutions-Co-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Python Developer,DBS -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Python,https://wuzzuf.net/jobs/p/3Mj2ievrvp7t-Full-Stack-Python-Developer-DBS-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,RTX for Shipping -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · IT/Software Development · Computer Science · Django · Flask · Python · JavaScript · computer,https://wuzzuf.net/jobs/p/PcLpYIUeTqSk-Python-Developer-RTX-for-Shipping-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Junior Python Developer (Remote Internship – IT),TALENTKOMPASS deutschland -,"Alexandria, Egypt ",Full TimeWork From HomeNot specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · HTML · SQL,https://wuzzuf.net/jobs/p/HlkQEe9yO5FT-Junior-Python-Developer-Remote-Internship-–-IT-TALENTKOMPASS-deutschland-Alexandria-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Multi Level Group (MLG) -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Engineering · Git · Information Technology (IT) · OOP · PHP · Programming · Software Development,https://wuzzuf.net/jobs/p/NEuzz9ILgVlu-Python-Developer-Multi-Level-Group-MLG-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Python Automation Engineer,Expleo -,"Cairo, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Quality · Python · API · Automation · QA · Software Development,https://wuzzuf.net/jobs/p/HYEkWqovIYbY-Python-Automation-Engineer-Expleo-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
